Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0xe06e699c784bd7f9b1568fd3ece3e35276e675629d7ecdf5f126b9cbd8076209,31789504,1694858548,9/16/2023 10:02,0x2530babefcfad989d1f8b14ba96c04050a644d53,0x80f914bb9c1a8b4109157a8d869aced42e18a63d,15,Transfer
0x788a507ea3da54c57862b632047e128c9300d906cc11e441d131ea071bb2e68b,31789515,1694858581,9/16/2023 10:03,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x0000000000f73a9daf39d74d785f5886bfbae81b,112.4993939,-
0xa3cf20671daf570843500eefeaf5fbc27ced906d485a9bdf26cf1c64918b1e6d,31789515,1694858581,9/16/2023 10:03,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x50f5e7f720429854d5f45dadb038dd5238640b13,"3,158.52",Multicall
0x1677f3db2dd852e5d51e8159a2c2ae7446418ad06775a525d557fe60e5e8a8f0,31789515,1694858581,9/16/2023 10:03,0x0000000000f73a9daf39d74d785f5886bfbae81b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,112.4993939,-
0x2b1e6cb141fcf7ce47dd5b041a118b357da556d097635863b6c9e9fb7fdb1ca0,31789517,1694858587,9/16/2023 10:03,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"2,242.25",-
0xef417369e678fadfc7b2a232c4932af818fbbf3b0c3fd6ced72f62c28c03ca04,31789538,1694858650,9/16/2023 10:04,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xe889c007fef92e99e4de6b7c4bd9a7bc83da7519,"2,341.33",Transfer
0x38058357e84d58783332b956483c4502e449bd4d7d318cb826ac68f9669de290,31789538,1694858650,9/16/2023 10:04,0xe889c007fef92e99e4de6b7c4bd9a7bc83da7519,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"2,341.33",Swap Exact Tokens For Tokens
0x9b99a78c61fce14f087a05d122f9992d7c259536261f5b2466c3df9d4c14f8e0,31789538,1694858650,9/16/2023 10:04,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,882.0330008,-
0x6ff0c8f6e8d6bc2b60f696f54e2ae53fc6c824443d48f931e160865b5888d773,31789539,1694858653,9/16/2023 10:04,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,"2,300.81",Transfer
0x753d4ecedee53e025f5d6808047cf861175bcaf8910a589bd1f1eccba1b3e5a8,31789541,1694858659,9/16/2023 10:04,0xa734439d26ce4dbf43ed7eb364ec409d949bb369,0x2c36c07a9e481da88636e91080fa11d6addfed86,"3,513.34",Transfer
